Behavioral Perspective,Perspective focused on an individual's behavioral habits.
Biological Perspective,Perspective focused on the physiological connection to psychology.
Cognitive Perspective,Perspective focused on mental processes such as thinking.
Humanistic Perspective,Perspective focused on each individual's potential for improving their life.
Psychodynamic Perspective,"Perspective focused on a individual's unconcious, built up primarily from childhood experiences."
Sociocultural Perspective,Perspective focused on how individual's are influenced by their societal or cultural environment.
Evolutionary Perspective,Perspective focused on examining psychology through the theme of evolution.
Confirmation Bias,"Only favoring information that supports prior beliefs, disregarding contradictory ones. "
Hindsight Bias,"The ""I-knew-it-all-along"" phenomenon."
Experiment,Research done by the researcher manipulating a variable to see its effect.
Random Assignment,"Method used to assign participants into different groups, ensuring equal chances of being assigned to all groups."
Case Study,"Study done in depth of a peculiar individual, group, or situation that can not be easily replicated."
Correlational Study,Study focused on relationships between two or more variables without any manipulation involved.
Meta-Analysis,Gathering and analyzing a mass of studies and drawing a single conclusion.
Cross-Sectional Research,Research analyzing a large population of varying characteristics in a specific time period.
Longitudinal Research,Research done over a long period of time with the same population. 
Naturalistic Observation,Researcher observes the sample in its natural environment.
Operational Definition,Specific units of measurement of included procedures in the study.
Replication,"Repetition of a past study, ensuring processes are same as the original, to see if the result is same."
Independent Variable,Variable that is manipulated or changed in the study.
Dependent Variable,Variable thats being measured in the study.
Representative Sample,Accurate collection of individuals that reflects all characteristics of the population.
Convenience Sample,"Easily accessible sample, but limited generalizability."
Random Sampling ,Method of selecting individuals from the population that makes sure each member is represented.
Confounding Variable,Variable-separate from the independent variable-that might produce an effect.
Sampling Bias,Choosing the wrong sample which results in an unrepresentative sample.
Generalizability,The extent in which the findings of the study can be applicable to mainstream society.
Experimental Group,Group that receives the treatment that is being studied.
Control Group,Group that doesn't receive the treatment.
Single Blind Procedure,Only the participants do not know which group they have been assigned to.
Double Blind Procedure,Neither the participants nor the researcher are able to affect the outcome of the research.
Experimenter Bias,Tendency for researchers to treat members of groups differently to confirm the researchers' hypothesis.
Social Desirability Bias,Tendency to try to give answers that reflect well upone oneself.
Qualitative Research,More complex textual responses and looks for key theme within them.
Quantitative Research,Research that uses numeric measures(ex. survey).
Directionality Problem,Inability to tell which of the variables is affecting which. 
Third Variable Problem,Correlation between two variables being falsely attributed to other unmeasured variable.
Correlation ,Relationship between two variables without ascribing cause.
Self-Report Bias,Tendency for individuals to inaccurately report their own behaviors often due to social desirablity.
Informed Consent,Process where participants are provided with all necessary information and given their consent.
Confidentiality,Participants' privacy is protected and undisclosed.
Placebo Effect,Phenomenon when participant receives effect even if treatment has no inherent effect.
Debrief,"After the study, participants are told the purpose of the study."
Measures of Central Tendency ,"Mean, median, mode."
Normal Curve,Theoretical bell-shaped curve.
Skewness,Positive when mean shifts right and negative when mean shifts left.
Standard Deviation,Square root of the variance.
Scatterplot,Resulted values shown in series of points on the graph.
Correlation Coefficient,Strength of a correlation(-1~1).
Statistical Significance,"p<0.05, results less likely to be happened by chance."
