Perception,making sense of sensory information
Bottom-up processing,taking sensory information and analysing it
Top-down processing,prior knowledge/expectations to interpret sensory information
Perceptual set,mental predisposition to perceive what is expected
Schema,"concept, framework that organises and interprets information"
Gestalt psychology,"perceiving information as whole, rather than separate parts"
Closure,mind fills in gaps 
Proximity,placed more closer = more related
Figure-ground,differentiating things from background
Similarity,similar objects perceived as groups
Selective attention,(cocktail party effect) focusing on one stimulus 
Inattentional blindness,can't see objects without direct attention
Change blindness,fail to notice change in environment
Binocular cues,"both eyes, depth and distance perceptions"
Retinal disparity,difference in view for each eye
Monocular cues,perceptions that rely only on one eye
Relative clarity,"clear objects = close, hazy objects = far"
Relative size,(objects same size) object casting smaller retinal image = far
Texture gradient,"detailed,fine texture = close, non-detailed texture = far"
Linear perspective,"parallel lines meet gradually with distance, more meeting = farther"
Interposition,"blocking object = close, blocked object = far"
Perceptual constancy,seeing objects as same even in different conditions
Size constancy,perceiving object certain size even with varying distances
Colour constancy,perceiving object certain colour even with different lighting conditions 
Shape constancy,perceiving object certain shape even with different sensory images
Apparent movement,perceiving movement in inanimate objects
Stroboscopic movement,(illusion) images in rapid sucession=fluid motion (ex.motion pictures)
Phi phenomenon,(illusion) stationary objects in rapid sucession=motion (ex.LED signs)
Auto-kintetic effect,(illusion) unmoving light in dark environment seem to move
Concept,mentally grouping similar objects
Prototypes,typical example of a category
Assimilation,fitting new information into existing frameworks
Accommodation,adjust existing schemas to incorporate new information
Algorithm,"problem solving; methodical (slow, accurate)"
Heuristic,"probelm solving; little-effort thinking strategy (fast, error-prone)"
Representative heuristic,unconscious stereotyping
Availability heuristic,"choices based on recent-available info, even when not suitable"
Mental set ,approach problems with solutions that worked before
Functional fixedness,cannot see object for other uses than its main 
Priming ,exposure to event directs response to certain direction
Framing,presentation of topic affects judgement
Gambler's fallacy,error;belief that past event can predict random event
Sunk-Cost fallacy,continue due to loss of previous investment
Executive functions,cognitive abilities for problem solving/decisions
Creativity,thinking to make new concepts
Divergent thinking,"thinking ""outside the box"" (FRQs)"
Convergent thinking ,making correct logical solution (MCQs)
Encoding,"1st step, input information "
Storage,"2nd step, store/keep information"
Retrieval,"3rd step, take information out of memory to use"
Explicit memory,memory of facts/events conciously recalled (hippocampus)
Implicit memory,memories not part of conciousness
Prospective memory ,planning to recall things to do 
Episodic ,(explicit) personal experiences
Semantic,"(explicit) general knowledge, meaning"
Procedural,(implicit) how to do things
Priming,(implicit) automatic processing due to condition of thoughts
Amnesia,"long-term memory loss (cause: disease, trauma)"
Infantile amnesia ,"(implicit) inability to recall memories as infants, only retain skills"
Retrograde amnesia ,memory loss of past events
Anterograde amnesia,failure to encode new memories
Global amnesia,retrograde + anterograde amnesia
Long-Term Potentiation (LTP),increase in synaptic activity + potential neural firing strength
Short-term memory,"temporary(not-durable) storage, processing sensory memory"
Long-term memory,"continuous, unlimited storage of information"
Multi-store memory model,"information goes through, sensory m -> short term m -> long term m"
Working memory model,model understanding short term memory (4 components)
Central executive,monitoring and coordinating system (attention)
Phonological loop,briefly holding auditory information
Visuospatial sketchpad,briefly holding appearance and spatial information
Episodic buffer,intergrates information to single episode
Sensory memory,storage of brief sensory events
Iconic memory,"(2-3 of a sec) fleeting visual memory, constantly overidden by newer images"
Echoic memory,(3-4 sec) momentary memory of a sound
Stroop effect,intereference of automatic processings over controlled ones
Memory consolidation,short term memory to long term memory
Automatic processing,unconcious encoding information to long term memory
Rehearsal,(effortful) concious repetition
Maintenance rehearsal,(short term memory) simple repetition
Elaborative rehearsal,associating known variables to new information in repetition
Processing model - Structural,"most shallow, apperance oriented"
Processing model - Phonetic,"shallow, sound oriented"
Processing model - Semantic,"deep, meaning oriented"
Effortful processing,"requires attention and effort, durable"
Mnemonic devices,assisting memory recall with cues
Method of Loci,memorisation of place with addition of vivid details
Chunking,splitting data to simpler parts
Acronyms,combining first letter of words for better recall
Categorisation,sorting information into groups for better recall
Spacing effect (distributed practice),retention is enhanced with distributed rehearsals
Cramming (massed practice),"method;retention doesn't happen, isn't put to long term memory"
Serial position effect,"in list form, first and last items are most memorable"
Primacy effect,first listed items best for recall
Recency effect,last listed items best for recall (especially in short-term memory)
Flashbulb memories,strong shocking events stored immediately 
Context-dependent memory,same environment enhances retrieval
Mood-congruent memory,same mood correlated memories is easier to retrieve
State-dependent memory,retrieval enhanced when state while retrieving and encoding is same
Testing effect,frequent quizzes + tests enhance retention
Metacognition,"""thinking about thinking"", understanding self's thought processes"
Forgetting curve,"Herman Ebbinghaus, memory slowly lost until retention"
Encoding failure,short term memory not encoded to long term memory
Tip-of-the-tongue phenomenon,"inadequate retrieval, only can retrieve similar parts"
Proactive interference,old information messes with new information recall
Retroactive interference,new information messes with old information recall
False memory syndrome,recall of false memories
Repressed memories,defense mechanism to lessen anxiousness
Contructive memory ,making information based on knowledge to fill gaps in memory
Misinformation effect,memories influenced by questions and expectations
Source amnesia ,inability to recall origin of memory
Intelligence,mental quality made up of cognitive abilities
Charles Spearman,"one general intelligence, factor analysis developer"
L. L. Thurstone,the primary mental abilities: 7 factors
Howard Gardner,eight intelligences 
Savant syndrome ,remarkable cognitive abilities in one area (ex.autism)
Intelligence Quotient,"Lewis Terman, mental age/chronological age x 100"
Flynn effect,consistent rise in average IQ across generations
Poverty Discrimination,unequality due to difference in socioeconomic status
Standardization,testing manner being consistent
Achievement tests,assessing current learnt performance (ex. AP tests)
Aptitude tests,"predicting future performance (ex. SAT, entrance exams)"
Wechsler Adult Intelligence Scale,most common intelligence test 
Validity,"construct-measuring capabilities of design, predictive-predictive capabilities of design"
Reliability,"test-retest -consistency of result, split-half -similarity of results with test halved"
Growth mindset,"""intelligence is malleable and based on experience"""
Fixed mindset,"""intelligence is fixed"""
Elizabeth Loftus,"misinformation effect, susceptibility of memory"
Psychometrics,measurement of psychological abilities
